iter	Passed	Remaining
847	55362	9923
848	55413	9855
849	55465	9787
850	55516	9720
851	55568	9652
852	55649	9590
853	55761	9533
854	55886	9477
855	55996	9420
856	56059	9354
857	56141	9291
858	56212	9226
859	56298	9164
860	56351	9097
861	56408	9030
862	56469	8964
863	56524	8897
864	56589	8831
865	56649	8765
866	56720	8701
867	56788	8635
868	56845	8569
869	56903	8502
870	56977	8438
871	57040	8372
872	57125	8310
873	57187	8244
874	57248	8178
875	57314	8113
876	57372	8046
877	57439	7981
878	57502	7915
879	57564	7849
880	57622	7783
881	57682	7717
882	57744	7651
883	57853	7591
884	57982	7534
885	58178	7485
886	58263	7422
887	58353	7359
888	58437	7296
889	58525	7233
890	58632	7172
891	58729	7110
892	58828	7048
893	58923	6986
894	59011	6923
895	59118	6861
896	59208	6798
897	59300	6735
898	59383	6671
899	59496	6610
900	59596	6548
901	59705	6486
902	59818	6425
903	59922	6363
904	60003	6298
905	60083	6233
906	60165	6169
907	60236	6103
908	60309	6037
909	60385	5972
910	60460	5906
911	60528	5840
912	60601	5774
913	60679	5709
914	60755	5643
915	60884	5583
916	60975	5519
917	61305	5476
918	61388	5410
919	61481	5346
920	61571	5281
921	61662	5216
922	61746	5151
923	61827	5085
924	61902	5019
925	61984	4953
926	62077	4888
927	62174	4823
928	62280	4759
929	62398	4696
930	62508	4632
931	62590	4566
932	62664	4500
933	62736	4433
934	62804	4366
935	62869	4298
936	62936	4231
937	63003	4164
938	63073	4097
939	63141	4030
940	63207	3963
941	63267	3895
942	63329	3827
943	63392	3760
944	63460	3693
945	63534	3626
946	63602	3559
947	63679	3492
948	63745	3425
949	63809	3358
950	63873	3291
951	63936	3223
952	63996	3156
953	64061	3088
954	64121	3021
955	64181	2953
956	64239	2886
957	64303	2819
958	64365	2751
959	64429	2684
960	64498	2617
961	64573	2550
962	64635	2483
963	64697	2416
964	64752	2348
965	64810	2281
966	64875	2213
967	64942	2146
968	65005	2079
969	65063	2012
970	65126	1945
971	65180	1877
972	65240	1810
973	65297	1743
974	65354	1675
975	65413	1608
976	65477	1541
977	65547	1474
978	65610	1407
979	65668	1340
980	65724	1272
981	65782	1205
982	65841	1138
983	65905	1071
984	65967	1004
985	66035	937
986	66107	870
987	66170	803
988	66230	736
989	66288	669
990	66350	602
991	66405	535
992	66465	468
993	66522	401
994	66581	334
995	66638	267
996	66697	200
997	66759	133
998	66816	66
999	66880	0
